date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,1.0178,1.0203,,,,,,,,,,,,,,,,,,
2011-01-04,,1.0071,1.004,,,,,,,,,,,,,,,,,,
2011-01-05,,0.9994,1.0011,,,,,,,,,,,,,,,,,,
2011-01-06,,0.9983,0.9964,,,,,,,,,,,,,,,,,,
2011-01-07,,0.9987,0.9935,,,,,,,,,,,,,,,,,,
2011-01-10,,0.9901,0.9947,,,,,,,,,,,,,,,,,,
2011-01-11,,0.9874,0.9874,,,,,,,,,,,,,,,,,,
2011-01-12,,0.9915,0.994,,,,,,,,,,,,,,,,,,
2011-01-13,,1.0003,0.9995,,,,,,,,,,,,,,,,,,
2011-01-14,,0.9885,0.9899,,,,,,,,,,,,,,,,,,
2011-01-17,,0.9938,0.994,,,,,,,,,,,,,,,,,,
2011-01-18,,0.9972,0.9975,,,,,,,,,,,,,,,,,,
2011-01-19,,1.0044,1.002,,,,,,,,,,,,,,,,,,
2011-01-20,,0.9881,0.9871,,,,,,,,,,,,,,,,,,
2011-01-21,,0.9914,0.9887,,,,,,,,,,,,,,,,,,
2011-01-24,,0.9923,0.9994,,,,,,,,,,,,,,,,,,
2011-01-25,,0.991,0.9933,,,,,,,,,,,,,,,,,,
2011-01-26,,0.9964,0.9947,,,,,,,,,,,,,,,,,,
2011-01-27,,0.9927,0.9914,,,,,,,,,,,,,,,,,,
2011-01-28,,0.9956,0.9939,,,,,,,,,,,,,,,,,,
2011-01-31,,0.9955,0.9982,,,,,,,,,,,,,,,,,,
2011-02-01,,1.0071,1.0142,,,,,,,,,,,,,,,,,,
2011-02-02,,1.0086,1.0074,,,,,,,,,,,,,,,,,,
2011-02-03,,1.0122,1.0147,,,,,,,,,,,,,,,,,,
2011-02-04,,1.0177,1.0111,,,,,,,,,,,,,,,,,,
2011-02-07,,1.0136,1.0133,,,,,,,,,,,,,,,,,,
2011-02-08,,1.0135,1.0175,,,,,,,,,,,,,,,,,,
2011-02-09,,1.0104,1.0113,,,,,,,,,,,,,,,,,,
2011-02-10,,1.0025,1.0043,,,,,,,,,,,,,,,,,,
2011-02-11,,0.9992,0.9998,,,,,,,,,,,,,,,,,,
2011-02-14,,1.0021,1.0035,,,,,,,,,,,,,,,,,,
2011-02-15,,0.9995,0.9998,,,,,,,,,,,,,,,,,,
2011-02-16,,0.9975,0.9989,,,,,,,,,,,,,,,,,,
2011-02-17,,1.005,1.0123,,,,,,,,,,,,,,,,,,
2011-02-18,,1.0111,1.0145,,,,,,,,,,,,,,,,,,
2011-02-21,,1.0109,1.0086,,,,,,,,,,,,,,,,,,
2011-02-22,,1.0033,0.9981,,,,,,,,,,,,,,,,,,
2011-02-23,,1.0021,0.9986,,,,,,,,,,,,,,,,,,
2011-02-24,,1.0072,1.0085,,,,,,,,,,,,,,,,,,
2011-02-25,,1.0144,1.0151,,,,,,,,,,,,,,,,,,
2011-02-28,,1.0176,1.0176,,,,,,,,,,,,,,,,,,
2011-03-01,,1.0175,1.0155,,,,,,,,,,,,,,,,,,
2011-03-02,,1.0134,1.0166,,,,,,,,,,,,,,,,,,
2011-03-03,,1.0165,1.0139,,,,,,,,,,,,,,,,,,
2011-03-04,,1.0088,1.0115,,,,,,,,,,,,,,,,,,
2011-03-07,,1.016,1.0101,,,,,,,,,,,,,,,,,,
2011-03-08,,1.0087,1.0103,,,,,,,,,,,,,,,,,,
2011-03-09,,1.012,1.0103,,,,,,,,,,,,,,,,,,
2011-03-10,,1.0021,1.0017,,,,,,,,,,,,,,,,,,
2011-03-11,,1.0019,1.0119,,,,,,,,,,,,,,,,,,
2011-03-14,,1.0068,1.0077,,,,,,,,,,,,,,,,,,
2011-03-15,,0.9877,0.9901,,,,,,,,,,,,,,,,,,
2011-03-16,,0.9918,0.9839,,,,,,,,,,,,,,,,,,
2011-03-17,,0.9829,0.9823,,,,,,,,,,,,,,,,,,
2011-03-18,,0.9922,0.9948,,,,,,,,,,,,,,,,,,
2011-03-21,,1.005,1.0042,,,,,,,,,,,,,,,,,,
2011-03-22,,1.0115,1.0114,,,,,,,,,,,,,,,,,,
2011-03-23,,1.0094,1.0105,,,,,,,,,,,,,,,,,,
2011-03-24,,1.0177,1.0215,,,,,,,,,,,,,,,,,,
2011-03-25,,1.0242,1.028,,,,,,,,,,,,,,,,,,
2011-03-28,,1.0264,1.0278,,,,,,,,,,,,,,,,,,
2011-03-29,,1.0227,1.026,,,,,,,,,,,,,,,,,,
2011-03-30,,1.0308,1.0317,,,,,,,,,,,,,,,,,,
2011-03-31,,1.0347,1.0356,,,,,,,,,,,,,,,,,,
2011-04-01,,1.0357,1.0381,,,,,,,,,,,,,,,,,,
2011-04-04,,1.0368,1.0346,,,,,,,,,,,,,,,,,,
2011-04-05,,1.0314,1.0345,,,,,,,,,,,,,,,,,,
2011-04-06,,1.0382,1.042,,,,,,,,,,,,,,,,,,
