date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,1.2489,1.2484,,,,,,,,,,,,,,,,,,
2011-01-04,,1.2651,1.2598,,,,,,,,,,,,,,,,,,
2011-01-05,,1.2636,1.2709,,,,,,,,,,,,,,,,,,
2011-01-06,,1.2662,1.2556,,,,,,,,,,,,,,,,,,
2011-01-07,,1.2533,1.2482,,,,,,,,,,,,,,,,,,
2011-01-10,,1.2501,1.2542,,,,,,,,,,,,,,,,,,
2011-01-11,,1.2547,1.265,,,,,,,,,,,,,,,,,,
2011-01-12,,1.2644,1.2702,,,,,,,,,,,,,,,,,,
2011-01-13,,1.2821,1.2855,,,,,,,,,,,,,,,,,,
2011-01-14,,1.2915,1.2874,,,,,,,,,,,,,,,,,,
2011-01-17,,1.2824,1.2822,,,,,,,,,,,,,,,,,,
2011-01-18,,1.2826,1.2886,,,,,,,,,,,,,,,,,,
2011-01-19,,1.2964,1.2885,,,,,,,,,,,,,,,,,,
2011-01-20,,1.2929,1.2998,,,,,,,,,,,,,,,,,,
2011-01-21,,1.299,1.3011,,,,,,,,,,,,,,,,,,
2011-01-24,,1.2992,1.2941,,,,,,,,,,,,,,,,,,
2011-01-25,,1.2837,1.2879,,,,,,,,,,,,,,,,,,
2011-01-26,,1.2915,1.2906,,,,,,,,,,,,,,,,,,
2011-01-27,,1.296,1.2974,,,,,,,,,,,,,,,,,,
2011-01-28,,1.2927,1.2823,,,,,,,,,,,,,,,,,,
2011-01-31,,1.2911,1.2887,,,,,,,,,,,,,,,,,,
2011-02-01,,1.295,1.2932,,,,,,,,,,,,,,,,,,
2011-02-02,,1.2895,1.2994,,,,,,,,,,,,,,,,,,
2011-02-03,,1.2948,1.2881,,,,,,,,,,,,,,,,,,
2011-02-04,,1.2981,1.2999,,,,,,,,,,,,,,,,,,
2011-02-07,,1.2942,1.2967,,,,,,,,,,,,,,,,,,
2011-02-08,,1.3033,1.3093,,,,,,,,,,,,,,,,,,
2011-02-09,,1.3158,1.3141,,,,,,,,,,,,,,,,,,
2011-02-10,,1.3129,1.3189,,,,,,,,,,,,,,,,,,
2011-02-11,,1.316,1.3182,,,,,,,,,,,,,,,,,,
2011-02-14,,1.3079,1.3088,,,,,,,,,,,,,,,,,,
2011-02-15,,1.3121,1.3051,,,,,,,,,,,,,,,,,,
2011-02-16,,1.3105,1.304,,,,,,,,,,,,,,,,,,
2011-02-17,,1.292,1.2928,,,,,,,,,,,,,,,,,,
2011-02-18,,1.296,1.2941,,,,,,,,,,,,,,,,,,
2011-02-21,,1.2959,1.2936,,,,,,,,,,,,,,,,,,
2011-02-22,,1.2857,1.2819,,,,,,,,,,,,,,,,,,
2011-02-23,,1.2856,1.2815,,,,,,,,,,,,,,,,,,
2011-02-24,,1.2755,1.2768,,,,,,,,,,,,,,,,,,
2011-02-25,,1.2774,1.2772,,,,,,,,,,,,,,,,,,
2011-02-28,,1.2842,1.2821,,,,,,,,,,,,,,,,,,
2011-03-01,,1.2865,1.282,,,,,,,,,,,,,,,,,,
2011-03-02,,1.2795,1.2792,,,,,,,,,,,,,,,,,,
2011-03-03,,1.2948,1.2986,,,,,,,,,,,,,,,,,,
2011-03-04,,1.2974,1.2949,,,,,,,,,,,,,,,,,,
2011-03-07,,1.2966,1.2925,,,,,,,,,,,,,,,,,,
2011-03-08,,1.2959,1.3001,,,,,,,,,,,,,,,,,,
2011-03-09,,1.2902,1.2921,,,,,,,,,,,,,,,,,,
2011-03-10,,1.291,1.2893,,,,,,,,,,,,,,,,,,
2011-03-11,,1.2851,1.2899,,,,,,,,,,,,,,,,,,
2011-03-14,,1.2938,1.2938,,,,,,,,,,,,,,,,,,
2011-03-15,,1.2768,1.2833,,,,,,,,,,,,,,,,,,
2011-03-16,,1.2782,1.2696,,,,,,,,,,,,,,,,,,
2011-03-17,,1.2639,1.262,,,,,,,,,,,,,,,,,,
2011-03-18,,1.2734,1.2759,,,,,,,,,,,,,,,,,,
2011-03-21,,1.283,1.2843,,,,,,,,,,,,,,,,,,
2011-03-22,,1.2854,1.2842,,,,,,,,,,,,,,,,,,
2011-03-23,,1.2741,1.2798,,,,,,,,,,,,,,,,,,
2011-03-24,,1.2858,1.2861,,,,,,,,,,,,,,,,,,
2011-03-25,,1.2923,1.2929,,,,,,,,,,,,,,,,,,
2011-03-28,,1.291,1.2934,,,,,,,,,,,,,,,,,,
2011-03-29,,1.2941,1.2969,,,,,,,,,,,,,,,,,,
2011-03-30,,1.299,1.2985,,,,,,,,,,,,,,,,,,
2011-03-31,,1.3009,1.2988,,,,,,,,,,,,,,,,,,
2011-04-01,,1.3053,1.3135,,,,,,,,,,,,,,,,,,
2011-04-04,,1.3116,1.3114,,,,,,,,,,,,,,,,,,
2011-04-05,,1.3097,1.3152,,,,,,,,,,,,,,,,,,
2011-04-06,,1.3091,1.3143,,,,,,,,,,,,,,,,,,
2011-04-07,,1.3118,1.3115,,,,,,,,,,,,,,,,,,
2011-04-08,,1.3164,1.3144,,,,,,,,,,,,,,,,,,
2011-04-11,,1.312,1.3105,,,,,,,,,,,,,,,,,,
2011-04-12,,1.3009,1.2982,,,,,,,,,,,,,,,,,,
2011-04-13,,1.3003,1.2944,,,,,,,,,,,,,,,,,,
2011-04-14,,1.2861,1.2908,,,,,,,,,,,,,,,,,,
2011-04-15,,1.2904,1.2904,,,,,,,,,,,,,,,,,,
2011-04-18,,1.2819,1.2764,,,,,,,,,,,,,,,,,,
2011-04-19,,1.2849,1.2871,,,,,,,,,,,,,,,,,,
2011-04-20,,1.2937,1.2934,,,,,,,,,,,,,,,,,,
2011-04-21,,1.2879,1.2865,,,,,,,,,,,,,,,,,,
2011-04-22,,1.2884,1.2897,,,,,,,,,,,,,,,,,,
2011-04-25,,1.2839,1.2836,,,,,,,,,,,,,,,,,,
2011-04-26,,1.2819,1.2872,,,,,,,,,,,,,,,,,,
2011-04-27,,1.286,1.291,,,,,,,,,,,,,,,,,,
2011-04-28,,1.2943,1.2916,,,,,,,,,,,,,,,,,,
2011-04-29,,1.2866,1.2841,,,,,,,,,,,,,,,,,,
2011-05-02,,1.2856,1.2849,,,,,,,,,,,,,,,,,,
2011-05-03,,1.279,1.2806,,,,,,,,,,,,,,,,,,
2011-05-04,,1.2822,1.2751,,,,,,,,,,,,,,,,,,
2011-05-05,,1.2735,1.2685,,,,,,,,,,,,,,,,,,
2011-05-06,,1.2662,1.2654,,,,,,,,,,,,,,,,,,
2011-05-09,,1.2624,1.2517,,,,,,,,,,,,,,,,,,
2011-05-10,,1.2608,1.2637,,,,,,,,,,,,,,,,,,
2011-05-11,,1.2658,1.2618,,,,,,,,,,,,,,,,,,
2011-05-12,,1.2585,1.2584,,,,,,,,,,,,,,,,,,
2011-05-13,,1.2668,1.2598,,,,,,,,,,,,,,,,,,
2011-05-16,,1.2539,1.2536,,,,,,,,,,,,,,,,,,
2011-05-17,,1.255,1.2527,,,,,,,,,,,,,,,,,,
2011-05-18,,1.2549,1.2549,,,,,,,,,,,,,,,,,,
2011-05-19,,1.26,1.26,,,,,,,,,,,,,,,,,,
2011-05-20,,1.2536,1.2441,,,,,,,,,,,,,,,,,,
2011-05-23,,1.2387,1.2375,,,,,,,,,,,,,,,,,,
2011-05-24,,1.2403,1.2413,,,,,,,,,,,,,,,,,,
2011-05-25,,1.2325,1.2296,,,,,,,,,,,,,,,,,,
2011-05-26,,1.2333,1.2208,,,,,,,,,,,,,,,,,,
2011-05-27,,1.2202,1.2171,,,,,,,,,,,,,,,,,,
2011-05-30,,1.2152,1.2166,,,,,,,,,,,,,,,,,,
2011-05-31,,1.2272,1.2259,,,,,,,,,,,,,,,,,,
2011-06-01,,1.2182,1.213,,,,,,,,,,,,,,,,,,
2011-06-02,,1.2169,1.2173,,,,,,,,,,,,,,,,,,
2011-06-03,,1.2196,1.2193,,,,,,,,,,,,,,,,,,
2011-06-06,,1.222,1.2221,,,,,,,,,,,,,,,,,,
2011-06-07,,1.2233,1.2303,,,,,,,,,,,,,,,,,,
2011-06-08,,1.2226,1.2204,,,,,,,,,,,,,,,,,,
2011-06-09,,1.2258,1.2225,,,,,,,,,,,,,,,,,,
2011-06-10,,1.2186,1.2093,,,,,,,,,,,,,,,,,,
2011-06-13,,1.2028,1.202,,,,,,,,,,,,,,,,,,
2011-06-14,,1.2114,1.2222,,,,,,,,,,,,,,,,,,
2011-06-15,,1.2162,1.2098,,,,,,,,,,,,,,,,,,
2011-06-16,,1.1961,1.204,,,,,,,,,,,,,,,,,,
2011-06-17,,1.2113,1.2119,,,,,,,,,,,,,,,,,,
2011-06-20,,1.2038,1.2053,,,,,,,,,,,,,,,,,,
2011-06-21,,1.213,1.2139,,,,,,,,,,,,,,,,,,
2011-06-22,,1.2113,1.2035,,,,,,,,,,,,,,,,,,
2011-06-23,,1.1959,1.1871,,,,,,,,,,,,,,,,,,
2011-06-24,,1.1892,1.1882,,,,,,,,,,,,,,,,,,
2011-06-27,,1.1839,1.1949,,,,,,,,,,,,,,,,,,
2011-06-28,,1.1887,1.1921,,,,,,,,,,,,,,,,,,
2011-06-29,,1.203,1.2043,,,,,,,,,,,,,,,,,,
2011-06-30,,1.2072,1.2214,,,,,,,,,,,,,,,,,,
2011-07-01,,1.2264,1.23,,,,,,,,,,,,,,,,,,
2011-07-04,,1.2317,1.2321,,,,,,,,,,,,,,,,,,
2011-07-05,,1.2221,1.2229,,,,,,,,,,,,,,,,,,
2011-07-06,,1.2062,1.2025,,,,,,,,,,,,,,,,,,
2011-07-07,,1.2029,1.2111,,,,,,,,,,,,,,,,,,
2011-07-08,,1.2081,1.1938,,,,,,,,,,,,,,,,,,
2011-07-11,,1.1746,1.1715,,,,,,,,,,,,,,,,,,
2011-07-12,,1.1678,1.1681,,,,,,,,,,,,,,,,,,
2011-07-13,,1.1689,1.1636,,,,,,,,,,,,,,,,,,
2011-07-14,,1.158,1.1581,,,,,,,,,,,,,,,,,,
2011-07-15,,1.1577,1.156,,,,,,,,,,,,,,,,,,
2011-07-18,,1.149,1.1484,,,,,,,,,,,,,,,,,,
