date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,0.861,0.8634,,,,,,,,,,,,,,,,,,
2011-01-04,,0.858,0.8538,,,,,,,,,,,,,,,,,,
2011-01-05,,0.8486,0.8501,,,,,,,,,,,,,,,,,,
2011-01-06,,0.8454,0.8405,,,,,,,,,,,,,,,,,,
2011-01-07,,0.8368,0.8313,,,,,,,,,,,,,,,,,,
2011-01-10,,0.8317,0.8311,,,,,,,,,,,,,,,,,,
2011-01-11,,0.8313,0.8304,,,,,,,,,,,,,,,,,,
2011-01-12,,0.8316,0.8308,,,,,,,,,,,,,,,,,,
2011-01-13,,0.8385,0.8418,,,,,,,,,,,,,,,,,,
2011-01-14,,0.842,0.8403,,,,,,,,,,,,,,,,,,
2011-01-17,,0.8351,0.8366,,,,,,,,,,,,,,,,,,
2011-01-18,,0.8371,0.8368,,,,,,,,,,,,,,,,,,
2011-01-19,,0.8441,0.8431,,,,,,,,,,,,,,,,,,
2011-01-20,,0.8423,0.8469,,,,,,,,,,,,,,,,,,
2011-01-21,,0.8469,0.8498,,,,,,,,,,,,,,,,,,
2011-01-24,,0.853,0.8527,,,,,,,,,,,,,,,,,,
2011-01-25,,0.8626,0.8627,,,,,,,,,,,,,,,,,,
2011-01-26,,0.8618,0.8617,,,,,,,,,,,,,,,,,,
2011-01-27,,0.86,0.8607,,,,,,,,,,,,,,,,,,
2011-01-28,,0.861,0.859,,,,,,,,,,,,,,,,,,
2011-01-31,,0.861,0.8543,,,,,,,,,,,,,,,,,,
2011-02-01,,0.8535,0.8565,,,,,,,,,,,,,,,,,,
2011-02-02,,0.8521,0.8527,,,,,,,,,,,,,,,,,,
2011-02-03,,0.8445,0.8449,,,,,,,,,,,,,,,,,,
2011-02-04,,0.8449,0.8435,,,,,,,,,,,,,,,,,,
2011-02-07,,0.8394,0.8414,,,,,,,,,,,,,,,,,,
2011-02-08,,0.8484,0.849,,,,,,,,,,,,,,,,,,
2011-02-09,,0.8517,0.8517,,,,,,,,,,,,,,,,,,
2011-02-10,,0.8486,0.8449,,,,,,,,,,,,,,,,,,
2011-02-11,,0.8459,0.8449,,,,,,,,,,,,,,,,,,
2011-02-14,,0.8409,0.8417,,,,,,,,,,,,,,,,,,
2011-02-15,,0.8371,0.8372,,,,,,,,,,,,,,,,,,
2011-02-16,,0.8416,0.8434,,,,,,,,,,,,,,,,,,
2011-02-17,,0.8411,0.8405,,,,,,,,,,,,,,,,,,
2011-02-18,,0.8396,0.842,,,,,,,,,,,,,,,,,,
2011-02-21,,0.8422,0.843,,,,,,,,,,,,,,,,,,
2011-02-22,,0.8461,0.8466,,,,,,,,,,,,,,,,,,
2011-02-23,,0.846,0.8488,,,,,,,,,,,,,,,,,,
2011-02-24,,0.8504,0.8552,,,,,,,,,,,,,,,,,,
2011-02-25,,0.854,0.8544,,,,,,,,,,,,,,,,,,
2011-02-28,,0.8527,0.8485,,,,,,,,,,,,,,,,,,
2011-03-01,,0.8493,0.848,,,,,,,,,,,,,,,,,,
2011-03-02,,0.8489,0.8494,,,,,,,,,,,,,,,,,,
2011-03-03,,0.8554,0.857,,,,,,,,,,,,,,,,,,
2011-03-04,,0.8588,0.8602,,,,,,,,,,,,,,,,,,
2011-03-07,,0.8613,0.8622,,,,,,,,,,,,,,,,,,
2011-03-08,,0.8604,0.8607,,,,,,,,,,,,,,,,,,
2011-03-09,,0.8582,0.8579,,,,,,,,,,,,,,,,,,
2011-03-10,,0.8588,0.8603,,,,,,,,,,,,,,,,,,
2011-03-11,,0.8611,0.864,,,,,,,,,,,,,,,,,,
2011-03-14,,0.8668,0.8638,,,,,,,,,,,,,,,,,,
2011-03-15,,0.8665,0.8692,,,,,,,,,,,,,,,,,,
2011-03-16,,0.8673,0.8681,,,,,,,,,,,,,,,,,,
2011-03-17,,0.869,0.8686,,,,,,,,,,,,,,,,,,
2011-03-18,,0.8744,0.8735,,,,,,,,,,,,,,,,,,
2011-03-21,,0.8708,0.8712,,,,,,,,,,,,,,,,,,
