date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,108.81,109.08,,,,,,,,,,,,,,,,,,
2011-01-04,,110.13,108.91,,,,,,,,,,,,,,,,,,
2011-01-05,,109.26,109.67,,,,,,,,,,,,,,,,,,
2011-01-06,,108.93,108.27,,,,,,,,,,,,,,,,,,
2011-01-07,,107.97,107.18,,,,,,,,,,,,,,,,,,
2011-01-10,,107.27,107.06,,,,,,,,,,,,,,,,,,
2011-01-11,,107.64,108.04,,,,,,,,,,,,,,,,,,
2011-01-12,,108.57,108.83,,,,,,,,,,,,,,,,,,
2011-01-13,,109.82,110.47,,,,,,,,,,,,,,,,,,
2011-01-14,,110.62,110.71,,,,,,,,,,,,,,,,,,
2011-01-17,,109.74,109.97,,,,,,,,,,,,,,,,,,
2011-01-18,,110.29,110.58,,,,,,,,,,,,,,,,,,
2011-01-19,,110.93,110.44,,,,,,,,,,,,,,,,,,
2011-01-20,,111.18,111.62,,,,,,,,,,,,,,,,,,
2011-01-21,,111.82,112.35,,,,,,,,,,,,,,,,,,
2011-01-24,,112.7,112.41,,,,,,,,,,,,,,,,,,
2011-01-25,,112.11,112.36,,,,,,,,,,,,,,,,,,
2011-01-26,,112.36,112.81,,,,,,,,,,,,,,,,,,
2011-01-27,,113.81,113.6,,,,,,,,,,,,,,,,,,
2011-01-28,,112.77,111.73,,,,,,,,,,,,,,,,,,
2011-01-31,,112.48,112.29,,,,,,,,,,,,,,,,,,
2011-02-01,,112.14,112.51,,,,,,,,,,,,,,,,,,
2011-02-02,,112.37,112.63,,,,,,,,,,,,,,,,,,
2011-02-03,,111.72,111.18,,,,,,,,,,,,,,,,,,
2011-02-04,,111.12,111.9,,,,,,,,,,,,,,,,,,
2011-02-07,,111.3,111.65,,,,,,,,,,,,,,,,,,
2011-02-08,,112.0,111.98,,,,,,,,,,,,,,,,,,
2011-02-09,,112.74,112.9,,,,,,,,,,,,,,,,,,
2011-02-10,,113.02,113.35,,,,,,,,,,,,,,,,,,
2011-02-11,,112.87,112.93,,,,,,,,,,,,,,,,,,
2011-02-14,,112.24,112.33,,,,,,,,,,,,,,,,,,
2011-02-15,,113.24,113.16,,,,,,,,,,,,,,,,,,
2011-02-16,,113.09,113.43,,,,,,,,,,,,,,,,,,
2011-02-17,,113.16,113.23,,,,,,,,,,,,,,,,,,
2011-02-18,,113.69,113.68,,,,,,,,,,,,,,,,,,
2011-02-21,,113.65,113.68,,,,,,,,,,,,,,,,,,
2011-02-22,,113.67,112.91,,,,,,,,,,,,,,,,,,
2011-02-23,,113.62,113.22,,,,,,,,,,,,,,,,,,
2011-02-24,,112.56,112.73,,,,,,,,,,,,,,,,,,
2011-02-25,,112.27,112.52,,,,,,,,,,,,,,,,,,
2011-02-28,,113.28,112.89,,,,,,,,,,,,,,,,,,
2011-03-01,,113.44,113.0,,,,,,,,,,,,,,,,,,
2011-03-02,,113.34,113.24,,,,,,,,,,,,,,,,,,
2011-03-03,,114.66,114.89,,,,,,,,,,,,,,,,,,
2011-03-04,,115.5,115.05,,,,,,,,,,,,,,,,,,
2011-03-07,,114.97,114.72,,,,,,,,,,,,,,,,,,
2011-03-08,,114.75,114.98,,,,,,,,,,,,,,,,,,
2011-03-09,,114.88,115.05,,,,,,,,,,,,,,,,,,
2011-03-10,,114.73,114.68,,,,,,,,,,,,,,,,,,
2011-03-11,,113.24,113.7,,,,,,,,,,,,,,,,,,
2011-03-14,,114.24,114.19,,,,,,,,,,,,,,,,,,
2011-03-15,,112.73,112.87,,,,,,,,,,,,,,,,,,
2011-03-16,,112.6,111.61,,,,,,,,,,,,,,,,,,
2011-03-17,,110.08,110.43,,,,,,,,,,,,,,,,,,
2011-03-18,,115.33,114.69,,,,,,,,,,,,,,,,,,
2011-03-21,,115.09,115.07,,,,,,,,,,,,,,,,,,
2011-03-22,,115.24,115.07,,,,,,,,,,,,,,,,,,
2011-03-23,,114.49,114.33,,,,,,,,,,,,,,,,,,
2011-03-24,,114.43,114.74,,,,,,,,,,,,,,,,,,
2011-03-25,,114.95,114.72,,,,,,,,,,,,,,,,,,
2011-03-28,,114.64,115.17,,,,,,,,,,,,,,,,,,
2011-03-29,,115.55,116.04,,,,,,,,,,,,,,,,,,
2011-03-30,,117.13,116.97,,,,,,,,,,,,,,,,,,
2011-03-31,,117.78,117.43,,,,,,,,,,,,,,,,,,
2011-04-01,,118.64,119.47,,,,,,,,,,,,,,,,,,
2011-04-04,,119.42,119.38,,,,,,,,,,,,,,,,,,
2011-04-05,,119.38,120.48,,,,,,,,,,,,,,,,,,
2011-04-06,,121.76,122.19,,,,,,,,,,,,,,,,,,
2011-04-07,,121.62,121.43,,,,,,,,,,,,,,,,,,
2011-04-08,,122.87,122.69,,,,,,,,,,,,,,,,,,
2011-04-11,,122.25,122.26,,,,,,,,,,,,,,,,,,
2011-04-12,,121.73,121.15,,,,,,,,,,,,,,,,,,
2011-04-13,,121.97,121.14,,,,,,,,,,,,,,,,,,
2011-04-14,,119.63,120.39,,,,,,,,,,,,,,,,,,
2011-04-15,,120.36,120.09,,,,,,,,,,,,,,,,,,
2011-04-18,,118.31,117.14,,,,,,,,,,,,,,,,,,
2011-04-19,,118.17,118.0,,,,,,,,,,,,,,,,,,
2011-04-20,,120.01,119.8,,,,,,,,,,,,,,,,,,
2011-04-21,,119.85,119.27,,,,,,,,,,,,,,,,,,
2011-04-22,,119.18,119.13,,,,,,,,,,,,,,,,,,
2011-04-25,,119.72,119.38,,,,,,,,,,,,,,,,,,
2011-04-26,,119.31,119.77,,,,,,,,,,,,,,,,,,
2011-04-27,,120.49,121.07,,,,,,,,,,,,,,,,,,
2011-04-28,,120.89,120.54,,,,,,,,,,,,,,,,,,
2011-04-29,,120.67,120.46,,,,,,,,,,,,,,,,,,
2011-05-02,,120.79,120.76,,,,,,,,,,,,,,,,,,
2011-05-03,,119.26,120.49,,,,,,,,,,,,,,,,,,
2011-05-04,,120.6,119.88,,,,,,,,,,,,,,,,,,
2011-05-05,,118.47,116.9,,,,,,,,,,,,,,,,,,
2011-05-06,,116.51,116.69,,,,,,,,,,,,,,,,,,
2011-05-09,,116.32,115.33,,,,,,,,,,,,,,,,,,
2011-05-10,,115.81,115.89,,,,,,,,,,,,,,,,,,
2011-05-11,,116.57,115.24,,,,,,,,,,,,,,,,,,
2011-05-12,,114.68,114.92,,,,,,,,,,,,,,,,,,
2011-05-13,,115.34,114.26,,,,,,,,,,,,,,,,,,
2011-05-16,,114.17,114.88,,,,,,,,,,,,,,,,,,
2011-05-17,,115.57,115.18,,,,,,,,,,,,,,,,,,
2011-05-18,,115.48,116.14,,,,,,,,,,,,,,,,,,
2011-05-19,,116.65,116.57,,,,,,,,,,,,,,,,,,
2011-05-20,,116.2,115.73,,,,,,,,,,,,,,,,,,
2011-05-23,,114.92,114.66,,,,,,,,,,,,,,,,,,
2011-05-24,,115.29,115.85,,,,,,,,,,,,,,,,,,
2011-05-25,,115.66,115.61,,,,,,,,,,,,,,,,,,
2011-05-26,,116.11,114.72,,,,,,,,,,,,,,,,,,
2011-05-27,,115.43,115.34,,,,,,,,,,,,,,,,,,
2011-05-30,,115.42,115.5,,,,,,,,,,,,,,,,,,
2011-05-31,,117.27,116.85,,,,,,,,,,,,,,,,,,
2011-06-01,,117.14,116.7,,,,,,,,,,,,,,,,,,
2011-06-02,,116.68,116.82,,,,,,,,,,,,,,,,,,
