date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,1.3346,1.3376,,,,,,,,,,,,,,,,,,
2011-01-04,,1.34,1.3312,,,,,,,,,,,,,,,,,,
2011-01-05,,1.318,1.3179,,,,,,,,,,,,,,,,,,
2011-01-06,,1.3116,1.3024,,,,,,,,,,,,,,,,,,
2011-01-07,,1.2996,1.2927,,,,,,,,,,,,,,,,,,
2011-01-10,,1.2915,1.2941,,,,,,,,,,,,,,,,,,
2011-01-11,,1.2962,1.2968,,,,,,,,,,,,,,,,,,
2011-01-12,,1.3021,1.3087,,,,,,,,,,,,,,,,,,
2011-01-13,,1.3276,1.3355,,,,,,,,,,,,,,,,,,
2011-01-14,,1.3361,1.3347,,,,,,,,,,,,,,,,,,
2011-01-17,,1.3287,1.3292,,,,,,,,,,,,,,,,,,
2011-01-18,,1.3385,1.3364,,,,,,,,,,,,,,,,,,
2011-01-19,,1.3506,1.348,,,,,,,,,,,,,,,,,,
2011-01-20,,1.3446,1.3461,,,,,,,,,,,,,,,,,,
2011-01-21,,1.3547,1.3586,,,,,,,,,,,,,,,,,,
2011-01-24,,1.3604,1.3638,,,,,,,,,,,,,,,,,,
2011-01-25,,1.3604,1.3644,,,,,,,,,,,,,,,,,,
2011-01-26,,1.3674,1.3683,,,,,,,,,,,,,,,,,,
2011-01-27,,1.3741,1.3697,,,,,,,,,,,,,,,,,,
2011-01-28,,1.3694,1.3611,,,,,,,,,,,,,,,,,,
2011-01-31,,1.3707,1.37,,,,,,,,,,,,,,,,,,
2011-02-01,,1.3742,1.3825,,,,,,,,,,,,,,,,,,
2011-02-02,,1.3801,1.379,,,,,,,,,,,,,,,,,,
2011-02-03,,1.366,1.3648,,,,,,,,,,,,,,,,,,
2011-02-04,,1.3585,1.3576,,,,,,,,,,,,,,,,,,
2011-02-07,,1.3522,1.3545,,,,,,,,,,,,,,,,,,
2011-02-08,,1.3624,1.3667,,,,,,,,,,,,,,,,,,
2011-02-09,,1.3669,1.3708,,,,,,,,,,,,,,,,,,
2011-02-10,,1.3596,1.3623,,,,,,,,,,,,,,,,,,
2011-02-11,,1.3524,1.3521,,,,,,,,,,,,,,,,,,
2011-02-14,,1.3459,1.3492,,,,,,,,,,,,,,,,,,
2011-02-15,,1.3528,1.3515,,,,,,,,,,,,,,,,,,
2011-02-16,,1.3473,1.3552,,,,,,,,,,,,,,,,,,
2011-02-17,,1.3566,1.3595,,,,,,,,,,,,,,,,,,
2011-02-18,,1.3641,1.3674,,,,,,,,,,,,,,,,,,
2011-02-21,,1.3663,1.3673,,,,,,,,,,,,,,,,,,
2011-02-22,,1.3672,1.3657,,,,,,,,,,,,,,,,,,
2011-02-23,,1.3734,1.3741,,,,,,,,,,,,,,,,,,
2011-02-24,,1.3773,1.379,,,,,,,,,,,,,,,,,,
2011-02-25,,1.3743,1.3758,,,,,,,,,,,,,,,,,,
2011-02-28,,1.3845,1.3792,,,,,,,,,,,,,,,,,,
2011-03-01,,1.3819,1.3804,,,,,,,,,,,,,,,,,,
2011-03-02,,1.3843,1.387,,,,,,,,,,,,,,,,,,
2011-03-03,,1.3953,1.3935,,,,,,,,,,,,,,,,,,
2011-03-04,,1.3955,1.3978,,,,,,,,,,,,,,,,,,
2011-03-07,,1.4003,1.3962,,,,,,,,,,,,,,,,,,
2011-03-08,,1.3902,1.3909,,,,,,,,,,,,,,,,,,
2011-03-09,,1.3897,1.3899,,,,,,,,,,,,,,,,,,
2011-03-10,,1.3815,1.3818,,,,,,,,,,,,,,,,,,
2011-03-11,,1.3787,1.3879,,,,,,,,,,,,,,,,,,
