date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,1.5497,1.5489,,,,,,,,,,,,,,,,,,
2011-01-04,,1.5614,1.5587,,,,,,,,,,,,,,,,,,
2011-01-05,,1.5529,1.5498,,,,,,,,,,,,,,,,,,
2011-01-06,,1.5512,1.5493,,,,,,,,,,,,,,,,,,
2011-01-07,,1.5526,1.5547,,,,,,,,,,,,,,,,,,
2011-01-10,,1.5525,1.5567,,,,,,,,,,,,,,,,,,
2011-01-11,,1.5589,1.5615,,,,,,,,,,,,,,,,,,
2011-01-12,,1.5654,1.5749,,,,,,,,,,,,,,,,,,
2011-01-13,,1.5829,1.5861,,,,,,,,,,,,,,,,,,
2011-01-14,,1.5865,1.588,,,,,,,,,,,,,,,,,,
2011-01-17,,1.5907,1.5886,,,,,,,,,,,,,,,,,,
2011-01-18,,1.5988,1.5967,,,,,,,,,,,,,,,,,,
2011-01-19,,1.5997,1.5984,,,,,,,,,,,,,,,,,,
2011-01-20,,1.596,1.5893,,,,,,,,,,,,,,,,,,
2011-01-21,,1.5993,1.5985,,,,,,,,,,,,,,,,,,
2011-01-24,,1.5946,1.5991,,,,,,,,,,,,,,,,,,
2011-01-25,,1.5769,1.5813,,,,,,,,,,,,,,,,,,
2011-01-26,,1.5864,1.5876,,,,,,,,,,,,,,,,,,
2011-01-27,,1.5975,1.591,,,,,,,,,,,,,,,,,,
2011-01-28,,1.5901,1.5843,,,,,,,,,,,,,,,,,,
2011-01-31,,1.5916,1.6032,,,,,,,,,,,,,,,,,,
2011-02-01,,1.6098,1.6139,,,,,,,,,,,,,,,,,,
2011-02-02,,1.6194,1.6169,,,,,,,,,,,,,,,,,,
2011-02-03,,1.6173,1.6151,,,,,,,,,,,,,,,,,,
2011-02-04,,1.6076,1.6093,,,,,,,,,,,,,,,,,,
2011-02-07,,1.6105,1.6095,,,,,,,,,,,,,,,,,,
2011-02-08,,1.6057,1.6096,,,,,,,,,,,,,,,,,,
2011-02-09,,1.6045,1.6092,,,,,,,,,,,,,,,,,,
2011-02-10,,1.6017,1.6121,,,,,,,,,,,,,,,,,,
2011-02-11,,1.5985,1.6,,,,,,,,,,,,,,,,,,
2011-02-14,,1.6001,1.6025,,,,,,,,,,,,,,,,,,
2011-02-15,,1.6156,1.6141,,,,,,,,,,,,,,,,,,
2011-02-16,,1.6006,1.6064,,,,,,,,,,,,,,,,,,
2011-02-17,,1.6125,1.6172,,,,,,,,,,,,,,,,,,
2011-02-18,,1.6243,1.6235,,,,,,,,,,,,,,,,,,
2011-02-21,,1.6219,1.6216,,,,,,,,,,,,,,,,,,
2011-02-22,,1.6156,1.6128,,,,,,,,,,,,,,,,,,
2011-02-23,,1.6231,1.6187,,,,,,,,,,,,,,,,,,
2011-02-24,,1.6193,1.6121,,,,,,,,,,,,,,,,,,
2011-02-25,,1.609,1.6099,,,,,,,,,,,,,,,,,,
2011-02-28,,1.6234,1.6252,,,,,,,,,,,,,,,,,,
2011-03-01,,1.627,1.6274,,,,,,,,,,,,,,,,,,
2011-03-02,,1.6305,1.6326,,,,,,,,,,,,,,,,,,
2011-03-03,,1.6307,1.6258,,,,,,,,,,,,,,,,,,
2011-03-04,,1.6246,1.6246,,,,,,,,,,,,,,,,,,
2011-03-07,,1.6255,1.6191,,,,,,,,,,,,,,,,,,
2011-03-08,,1.6155,1.6157,,,,,,,,,,,,,,,,,,
2011-03-09,,1.619,1.62,,,,,,,,,,,,,,,,,,
2011-03-10,,1.6084,1.6058,,,,,,,,,,,,,,,,,,
2011-03-11,,1.6009,1.6059,,,,,,,,,,,,,,,,,,
2011-03-14,,1.6094,1.619,,,,,,,,,,,,,,,,,,
2011-03-15,,1.6014,1.6065,,,,,,,,,,,,,,,,,,
2011-03-16,,1.6077,1.6034,,,,,,,,,,,,,,,,,,
2011-03-17,,1.6128,1.6138,,,,,,,,,,,,,,,,,,
2011-03-18,,1.6158,1.6184,,,,,,,,,,,,,,,,,,
2011-03-21,,1.6265,1.6276,,,,,,,,,,,,,,,,,,
2011-03-22,,1.6374,1.6386,,,,,,,,,,,,,,,,,,
2011-03-23,,1.6269,1.6244,,,,,,,,,,,,,,,,,,
2011-03-24,,1.6182,1.6162,,,,,,,,,,,,,,,,,,
2011-03-25,,1.6101,1.6083,,,,,,,,,,,,,,,,,,
2011-03-28,,1.598,1.602,,,,,,,,,,,,,,,,,,
2011-03-29,,1.5958,1.5979,,,,,,,,,,,,,,,,,,
2011-03-30,,1.6034,1.604,,,,,,,,,,,,,,,,,,
2011-03-31,,1.6086,1.6045,,,,,,,,,,,,,,,,,,
2011-04-01,,1.6052,1.6123,,,,,,,,,,,,,,,,,,
2011-04-04,,1.6147,1.6124,,,,,,,,,,,,,,,,,,
2011-04-05,,1.6237,1.6282,,,,,,,,,,,,,,,,,,
2011-04-06,,1.6293,1.6313,,,,,,,,,,,,,,,,,,
2011-04-07,,1.6301,1.6308,,,,,,,,,,,,,,,,,,
2011-04-08,,1.6357,1.634,,,,,,,,,,,,,,,,,,
2011-04-11,,1.6349,1.6385,,,,,,,,,,,,,,,,,,
2011-04-12,,1.6287,1.6263,,,,,,,,,,,,,,,,,,
2011-04-13,,1.6287,1.628,,,,,,,,,,,,,,,,,,
2011-04-14,,1.6322,1.6346,,,,,,,,,,,,,,,,,,
2011-04-15,,1.6355,1.6324,,,,,,,,,,,,,,,,,,
2011-04-18,,1.6265,1.6231,,,,,,,,,,,,,,,,,,
2011-04-19,,1.6297,1.6311,,,,,,,,,,,,,,,,,,
2011-04-20,,1.6363,1.6401,,,,,,,,,,,,,,,,,,
2011-04-21,,1.6564,1.6566,,,,,,,,,,,,,,,,,,
2011-04-22,,1.6522,1.6513,,,,,,,,,,,,,,,,,,
2011-04-25,,1.6518,1.649,,,,,,,,,,,,,,,,,,
2011-04-26,,1.6474,1.646,,,,,,,,,,,,,,,,,,
2011-04-27,,1.6546,1.6527,,,,,,,,,,,,,,,,,,
2011-04-28,,1.6639,1.6635,,,,,,,,,,,,,,,,,,
2011-04-29,,1.6676,1.6697,,,,,,,,,,,,,,,,,,
2011-05-02,,1.6688,1.669,,,,,,,,,,,,,,,,,,
2011-05-03,,1.6481,1.6535,,,,,,,,,,,,,,,,,,
2011-05-04,,1.652,1.6519,,,,,,,,,,,,,,,,,,
2011-05-05,,1.6515,1.643,,,,,,,,,,,,,,,,,,
2011-05-06,,1.6416,1.6413,,,,,,,,,,,,,,,,,,
2011-05-09,,1.6374,1.6334,,,,,,,,,,,,,,,,,,
2011-05-10,,1.6351,1.6327,,,,,,,,,,,,,,,,,,
2011-05-11,,1.6478,1.6416,,,,,,,,,,,,,,,,,,
2011-05-12,,1.6276,1.6288,,,,,,,,,,,,,,,,,,
2011-05-13,,1.627,1.6182,,,,,,,,,,,,,,,,,,
2011-05-16,,1.6194,1.6236,,,,,,,,,,,,,,,,,,
2011-05-17,,1.6229,1.62,,,,,,,,,,,,,,,,,,
2011-05-18,,1.615,1.615,,,,,,,,,,,,,,,,,,
2011-05-19,,1.6183,1.6179,,,,,,,,,,,,,,,,,,
2011-05-20,,1.6225,1.6222,,,,,,,,,,,,,,,,,,
2011-05-23,,1.6128,1.6102,,,,,,,,,,,,,,,,,,
2011-05-24,,1.6146,1.6184,,,,,,,,,,,,,,,,,,
2011-05-25,,1.6229,1.6282,,,,,,,,,,,,,,,,,,
2011-05-26,,1.6316,1.6344,,,,,,,,,,,,,,,,,,
2011-05-27,,1.6428,1.6491,,,,,,,,,,,,,,,,,,
2011-05-30,,1.6464,1.645,,,,,,,,,,,,,,,,,,
2011-05-31,,1.6501,1.6436,,,,,,,,,,,,,,,,,,
2011-06-01,,1.6421,1.6393,,,,,,,,,,,,,,,,,,
2011-06-02,,1.6373,1.632,,,,,,,,,,,,,,,,,,
2011-06-03,,1.6328,1.6396,,,,,,,,,,,,,,,,,,
2011-06-06,,1.6397,1.6358,,,,,,,,,,,,,,,,,,
2011-06-07,,1.6415,1.644,,,,,,,,,,,,,,,,,,
2011-06-08,,1.637,1.6376,,,,,,,,,,,,,,,,,,
2011-06-09,,1.6425,1.6376,,,,,,,,,,,,,,,,,,
2011-06-10,,1.6304,1.6251,,,,,,,,,,,,,,,,,,
2011-06-13,,1.6304,1.6305,,,,,,,,,,,,,,,,,,
2011-06-14,,1.6399,1.6384,,,,,,,,,,,,,,,,,,
2011-06-15,,1.6252,1.6214,,,,,,,,,,,,,,,,,,
2011-06-16,,1.6098,1.6128,,,,,,,,,,,,,,,,,,
2011-06-17,,1.6182,1.6183,,,,,,,,,,,,,,,,,,
