date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,0.7756,0.7751,,,,,,,,,,,,,,,,,,
2011-01-04,,0.7656,0.7656,,,,,,,,,,,,,,,,,,
2011-01-05,,0.7623,0.7623,,,,,,,,,,,,,,,,,,
2011-01-06,,0.7595,0.7587,,,,,,,,,,,,,,,,,,
2011-01-07,,0.7627,0.7576,,,,,,,,,,,,,,,,,,
2011-01-10,,0.7587,0.7626,,,,,,,,,,,,,,,,,,
2011-01-11,,0.7602,0.7592,,,,,,,,,,,,,,,,,,
2011-01-12,,0.7589,0.7603,,,,,,,,,,,,,,,,,,
2011-01-13,,0.7689,0.7691,,,,,,,,,,,,,,,,,,
2011-01-14,,0.7678,0.7691,,,,,,,,,,,,,,,,,,
2011-01-17,,0.7737,0.7726,,,,,,,,,,,,,,,,,,
2011-01-18,,0.7716,0.7699,,,,,,,,,,,,,,,,,,
2011-01-19,,0.7763,0.7713,,,,,,,,,,,,,,,,,,
2011-01-20,,0.7584,0.7568,,,,,,,,,,,,,,,,,,
2011-01-21,,0.7581,0.7572,,,,,,,,,,,,,,,,,,
2011-01-24,,0.7598,0.7637,,,,,,,,,,,,,,,,,,
2011-01-25,,0.7636,0.7653,,,,,,,,,,,,,,,,,,
2011-01-26,,0.7667,0.7667,,,,,,,,,,,,,,,,,,
2011-01-27,,0.774,0.7714,,,,,,,,,,,,,,,,,,
2011-01-28,,0.7761,0.7737,,,,,,,,,,,,,,,,,,
2011-01-31,,0.7714,0.7728,,,,,,,,,,,,,,,,,,
2011-02-01,,0.7757,0.7809,,,,,,,,,,,,,,,,,,
2011-02-02,,0.7814,0.7789,,,,,,,,,,,,,,,,,,
2011-02-03,,0.7706,0.7732,,,,,,,,,,,,,,,,,,
2011-02-04,,0.7713,0.767,,,,,,,,,,,,,,,,,,
2011-02-07,,0.7699,0.7698,,,,,,,,,,,,,,,,,,
2011-02-08,,0.7745,0.7774,,,,,,,,,,,,,,,,,,
2011-02-09,,0.7724,0.7717,,,,,,,,,,,,,,,,,,
2011-02-10,,0.7663,0.766,,,,,,,,,,,,,,,,,,
2011-02-11,,0.757,0.7589,,,,,,,,,,,,,,,,,,
2011-02-14,,0.7557,0.757,,,,,,,,,,,,,,,,,,
2011-02-15,,0.753,0.7524,,,,,,,,,,,,,,,,,,
2011-02-16,,0.7511,0.7524,,,,,,,,,,,,,,,,,,
2011-02-17,,0.7554,0.7594,,,,,,,,,,,,,,,,,,
2011-02-18,,0.762,0.7637,,,,,,,,,,,,,,,,,,
