date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,0.9914,0.9904,,,,,,,,,,,,,,,,,,
2011-01-04,,0.9951,1.0012,,,,,,,,,,,,,,,,,,
2011-01-05,,0.9956,0.9938,,,,,,,,,,,,,,,,,,
2011-01-06,,0.9949,0.9955,,,,,,,,,,,,,,,,,,
2011-01-07,,0.9908,0.9952,,,,,,,,,,,,,,,,,,
2011-01-10,,0.9957,0.9939,,,,,,,,,,,,,,,,,,
2011-01-11,,0.9908,0.9903,,,,,,,,,,,,,,,,,,
2011-01-12,,0.986,0.987,,,,,,,,,,,,,,,,,,
2011-01-13,,0.9892,0.9864,,,,,,,,,,,,,,,,,,
2011-01-14,,0.9933,0.9892,,,,,,,,,,,,,,,,,,
2011-01-17,,0.9872,0.987,,,,,,,,,,,,,,,,,,
2011-01-18,,0.9887,0.9929,,,,,,,,,,,,,,,,,,
2011-01-19,,0.9926,0.9958,,,,,,,,,,,,,,,,,,
2011-01-20,,0.9989,0.9981,,,,,,,,,,,,,,,,,,
2011-01-21,,0.9916,0.9952,,,,,,,,,,,,,,,,,,
2011-01-24,,0.9939,0.9944,,,,,,,,,,,,,,,,,,
2011-01-25,,0.9997,0.9979,,,,,,,,,,,,,,,,,,
2011-01-26,,0.9961,0.9961,,,,,,,,,,,,,,,,,,
2011-01-27,,0.9961,0.9927,,,,,,,,,,,,,,,,,,
2011-01-28,,0.9956,0.9986,,,,,,,,,,,,,,,,,,
2011-01-31,,0.9973,1.0016,,,,,,,,,,,,,,,,,,
2011-02-01,,0.9973,0.9903,,,,,,,,,,,,,,,,,,
2011-02-02,,0.9874,0.9895,,,,,,,,,,,,,,,,,,
2011-02-03,,0.9896,0.9897,,,,,,,,,,,,,,,,,,
2011-02-04,,0.9842,0.9896,,,,,,,,,,,,,,,,,,
2011-02-07,,0.9884,0.9892,,,,,,,,,,,,,,,,,,
2011-02-08,,0.9894,0.9917,,,,,,,,,,,,,,,,,,
2011-02-09,,0.9946,0.9935,,,,,,,,,,,,,,,,,,
2011-02-10,,0.9962,0.9965,,,,,,,,,,,,,,,,,,
2011-02-11,,0.9939,0.9893,,,,,,,,,,,,,,,,,,
2011-02-14,,0.9858,0.988,,,,,,,,,,,,,,,,,,
2011-02-15,,0.9868,0.9886,,,,,,,,,,,,,,,,,,
2011-02-16,,0.9864,0.9858,,,,,,,,,,,,,,,,,,
2011-02-17,,0.9836,0.9844,,,,,,,,,,,,,,,,,,
2011-02-18,,0.9824,0.9841,,,,,,,,,,,,,,,,,,
2011-02-21,,0.9829,0.9826,,,,,,,,,,,,,,,,,,
2011-02-22,,0.9857,0.9873,,,,,,,,,,,,,,,,,,
2011-02-23,,0.9918,0.9924,,,,,,,,,,,,,,,,,,
2011-02-24,,0.983,0.9838,,,,,,,,,,,,,,,,,,
2011-02-25,,0.9816,0.9805,,,,,,,,,,,,,,,,,,
2011-02-28,,0.9737,0.9731,,,,,,,,,,,,,,,,,,
2011-03-01,,0.9722,0.9741,,,,,,,,,,,,,,,,,,
2011-03-02,,0.9718,0.9728,,,,,,,,,,,,,,,,,,
2011-03-03,,0.973,0.9731,,,,,,,,,,,,,,,,,,
2011-03-04,,0.9724,0.9719,,,,,,,,,,,,,,,,,,
2011-03-07,,0.9704,0.9737,,,,,,,,,,,,,,,,,,
2011-03-08,,0.9719,0.9714,,,,,,,,,,,,,,,,,,
2011-03-09,,0.9677,0.9684,,,,,,,,,,,,,,,,,,
2011-03-10,,0.9738,0.9745,,,,,,,,,,,,,,,,,,
2011-03-11,,0.978,0.9738,,,,,,,,,,,,,,,,,,
2011-03-14,,0.9725,0.9753,,,,,,,,,,,,,,,,,,
2011-03-15,,0.9917,0.9825,,,,,,,,,,,,,,,,,,
2011-03-16,,0.9821,0.9922,,,,,,,,,,,,,,,,,,
2011-03-17,,0.9877,0.9886,,,,,,,,,,,,,,,,,,
2011-03-18,,0.9804,0.9843,,,,,,,,,,,,,,,,,,
2011-03-21,,0.9768,0.9771,,,,,,,,,,,,,,,,,,
2011-03-22,,0.9756,0.9768,,,,,,,,,,,,,,,,,,
2011-03-23,,0.9817,0.9818,,,,,,,,,,,,,,,,,,
2011-03-24,,0.9771,0.9748,,,,,,,,,,,,,,,,,,
2011-03-25,,0.9754,0.9776,,,,,,,,,,,,,,,,,,
2011-03-28,,0.9781,0.9757,,,,,,,,,,,,,,,,,,
2011-03-29,,0.9763,0.9758,,,,,,,,,,,,,,,,,,
2011-03-30,,0.9702,0.9712,,,,,,,,,,,,,,,,,,
2011-03-31,,0.9689,0.9715,,,,,,,,,,,,,,,,,,
2011-04-01,,0.9678,0.9625,,,,,,,,,,,,,,,,,,
2011-04-04,,0.9643,0.9678,,,,,,,,,,,,,,,,,,
2011-04-05,,0.9652,0.9635,,,,,,,,,,,,,,,,,,
2011-04-06,,0.9591,0.9587,,,,,,,,,,,,,,,,,,
2011-04-07,,0.9586,0.9589,,,,,,,,,,,,,,,,,,
2011-04-08,,0.9541,0.9565,,,,,,,,,,,,,,,,,,
2011-04-11,,0.9569,0.9544,,,,,,,,,,,,,,,,,,
2011-04-12,,0.9581,0.9621,,,,,,,,,,,,,,,,,,
2011-04-13,,0.9605,0.964,,,,,,,,,,,,,,,,,,
2011-04-14,,0.9655,0.9625,,,,,,,,,,,,,,,,,,
2011-04-15,,0.9641,0.9609,,,,,,,,,,,,,,,,,,
2011-04-18,,0.9649,0.9688,,,,,,,,,,,,,,,,,,
2011-04-19,,0.958,0.9569,,,,,,,,,,,,,,,,,,
2011-04-20,,0.9515,0.9525,,,,,,,,,,,,,,,,,,
2011-04-21,,0.9468,0.9518,,,,,,,,,,,,,,,,,,
2011-04-22,,0.9535,0.9535,,,,,,,,,,,,,,,,,,
2011-04-25,,0.9508,0.9542,,,,,,,,,,,,,,,,,,
2011-04-26,,0.9535,0.9505,,,,,,,,,,,,,,,,,,
2011-04-27,,0.9524,0.9547,,,,,,,,,,,,,,,,,,
2011-04-28,,0.9501,0.951,,,,,,,,,,,,,,,,,,
2011-04-29,,0.9485,0.9485,,,,,,,,,,,,,,,,,,
2011-05-02,,0.9491,0.9488,,,,,,,,,,,,,,,,,,
2011-05-03,,0.9533,0.9489,,,,,,,,,,,,,,,,,,
2011-05-04,,0.9532,0.9575,,,,,,,,,,,,,,,,,,
2011-05-05,,0.9652,0.9664,,,,,,,,,,,,,,,,,,
2011-05-06,,0.9636,0.9616,,,,,,,,,,,,,,,,,,
2011-05-09,,0.9639,0.966,,,,,,,,,,,,,,,,,,
2011-05-10,,0.9593,0.9608,,,,,,,,,,,,,,,,,,
2011-05-11,,0.9535,0.9581,,,,,,,,,,,,,,,,,,
2011-05-12,,0.9658,0.9653,,,,,,,,,,,,,,,,,,
2011-05-13,,0.9628,0.9701,,,,,,,,,,,,,,,,,,
2011-05-16,,0.9748,0.9701,,,,,,,,,,,,,,,,,,
2011-05-17,,0.974,0.9773,,,,,,,,,,,,,,,,,,
2011-05-18,,0.9738,0.9721,,,,,,,,,,,,,,,,,,
2011-05-19,,0.9681,0.9697,,,,,,,,,,,,,,,,,,
2011-05-20,,0.9691,0.9732,,,,,,,,,,,,,,,,,,
2011-05-23,,0.9781,0.9791,,,,,,,,,,,,,,,,,,
2011-05-24,,0.9774,0.9773,,,,,,,,,,,,,,,,,,
2011-05-25,,0.9785,0.9763,,,,,,,,,,,,,,,,,,
2011-05-26,,0.9769,0.9805,,,,,,,,,,,,,,,,,,
2011-05-27,,0.9765,0.977,,,,,,,,,,,,,,,,,,
2011-05-30,,0.9755,0.9764,,,,,,,,,,,,,,,,,,
2011-05-31,,0.9724,0.9685,,,,,,,,,,,,,,,,,,
2011-06-01,,0.9673,0.9711,,,,,,,,,,,,,,,,,,
2011-06-02,,0.9775,0.9791,,,,,,,,,,,,,,,,,,
2011-06-03,,0.9779,0.9768,,,,,,,,,,,,,,,,,,
2011-06-06,,0.9809,0.9782,,,,,,,,,,,,,,,,,,
2011-06-07,,0.9762,0.9741,,,,,,,,,,,,,,,,,,
2011-06-08,,0.9801,0.9781,,,,,,,,,,,,,,,,,,
2011-06-09,,0.9784,0.9734,,,,,,,,,,,,,,,,,,
2011-06-10,,0.9724,0.9766,,,,,,,,,,,,,,,,,,
2011-06-13,,0.9775,0.9777,,,,,,,,,,,,,,,,,,
2011-06-14,,0.9743,0.9686,,,,,,,,,,,,,,,,,,
2011-06-15,,0.969,0.9779,,,,,,,,,,,,,,,,,,
2011-06-16,,0.9873,0.984,,,,,,,,,,,,,,,,,,
2011-06-17,,0.9782,0.9795,,,,,,,,,,,,,,,,,,
2011-06-20,,0.9841,0.9783,,,,,,,,,,,,,,,,,,
2011-06-21,,0.9769,0.9723,,,,,,,,,,,,,,,,,,
2011-06-22,,0.9733,0.9726,,,,,,,,,,,,,,,,,,
2011-06-23,,0.9734,0.9796,,,,,,,,,,,,,,,,,,
2011-06-24,,0.9819,0.9847,,,,,,,,,,,,,,,,,,
2011-06-27,,0.9891,0.9858,,,,,,,,,,,,,,,,,,
2011-06-28,,0.9874,0.9819,,,,,,,,,,,,,,,,,,
2011-06-29,,0.9733,0.9703,,,,,,,,,,,,,,,,,,
2011-06-30,,0.966,0.9642,,,,,,,,,,,,,,,,,,
2011-07-01,,0.9635,0.9608,,,,,,,,,,,,,,,,,,
2011-07-04,,0.9598,0.9595,,,,,,,,,,,,,,,,,,
2011-07-05,,0.9628,0.9605,,,,,,,,,,,,,,,,,,
2011-07-06,,0.9659,0.9655,,,,,,,,,,,,,,,,,,
2011-07-07,,0.9639,0.9585,,,,,,,,,,,,,,,,,,
