date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,0.9357,0.9332,,,,,,,,,,,,,,,,,,
2011-01-04,,0.944,0.9463,,,,,,,,,,,,,,,,,,
2011-01-05,,0.9586,0.9642,,,,,,,,,,,,,,,,,,
2011-01-06,,0.9653,0.9639,,,,,,,,,,,,,,,,,,
2011-01-07,,0.9643,0.9655,,,,,,,,,,,,,,,,,,
2011-01-10,,0.9677,0.9691,,,,,,,,,,,,,,,,,,
2011-01-11,,0.9679,0.9754,,,,,,,,,,,,,,,,,,
2011-01-12,,0.971,0.9705,,,,,,,,,,,,,,,,,,
2011-01-13,,0.9655,0.9625,,,,,,,,,,,,,,,,,,
2011-01-14,,0.9664,0.9644,,,,,,,,,,,,,,,,,,
2011-01-17,,0.9651,0.9645,,,,,,,,,,,,,,,,,,
2011-01-18,,0.9582,0.9641,,,,,,,,,,,,,,,,,,
2011-01-19,,0.9597,0.9558,,,,,,,,,,,,,,,,,,
2011-01-20,,0.9614,0.9654,,,,,,,,,,,,,,,,,,
2011-01-21,,0.9588,0.9575,,,,,,,,,,,,,,,,,,
2011-01-24,,0.9549,0.9488,,,,,,,,,,,,,,,,,,
2011-01-25,,0.9435,0.9438,,,,,,,,,,,,,,,,,,
2011-01-26,,0.9443,0.9432,,,,,,,,,,,,,,,,,,
2011-01-27,,0.9431,0.9471,,,,,,,,,,,,,,,,,,
2011-01-28,,0.9439,0.942,,,,,,,,,,,,,,,,,,
2011-01-31,,0.9418,0.9406,,,,,,,,,,,,,,,,,,
2011-02-01,,0.9423,0.9353,,,,,,,,,,,,,,,,,,
2011-02-02,,0.9342,0.9421,,,,,,,,,,,,,,,,,,
2011-02-03,,0.9477,0.9437,,,,,,,,,,,,,,,,,,
2011-02-04,,0.9554,0.9575,,,,,,,,,,,,,,,,,,
2011-02-07,,0.957,0.9573,,,,,,,,,,,,,,,,,,
2011-02-08,,0.9565,0.9579,,,,,,,,,,,,,,,,,,
2011-02-09,,0.9625,0.9585,,,,,,,,,,,,,,,,,,
2011-02-10,,0.9656,0.968,,,,,,,,,,,,,,,,,,
2011-02-11,,0.9729,0.9749,,,,,,,,,,,,,,,,,,
2011-02-14,,0.9715,0.97,,,,,,,,,,,,,,,,,,
2011-02-15,,0.9698,0.9655,,,,,,,,,,,,,,,,,,
2011-02-16,,0.9726,0.9621,,,,,,,,,,,,,,,,,,
2011-02-17,,0.9523,0.9509,,,,,,,,,,,,,,,,,,
2011-02-18,,0.95,0.9463,,,,,,,,,,,,,,,,,,
2011-02-21,,0.9483,0.9459,,,,,,,,,,,,,,,,,,
2011-02-22,,0.9402,0.9385,,,,,,,,,,,,,,,,,,
2011-02-23,,0.936,0.9324,,,,,,,,,,,,,,,,,,
2011-02-24,,0.926,0.9258,,,,,,,,,,,,,,,,,,
2011-02-25,,0.9293,0.9282,,,,,,,,,,,,,,,,,,
2011-02-28,,0.9274,0.9294,,,,,,,,,,,,,,,,,,
2011-03-01,,0.9308,0.9287,,,,,,,,,,,,,,,,,,
2011-03-02,,0.9241,0.9222,,,,,,,,,,,,,,,,,,
2011-03-03,,0.9278,0.9317,,,,,,,,,,,,,,,,,,
2011-03-04,,0.9296,0.9263,,,,,,,,,,,,,,,,,,
2011-03-07,,0.9258,0.9255,,,,,,,,,,,,,,,,,,
2011-03-08,,0.9321,0.9345,,,,,,,,,,,,,,,,,,
2011-03-09,,0.9283,0.9295,,,,,,,,,,,,,,,,,,
2011-03-10,,0.9344,0.933,,,,,,,,,,,,,,,,,,
2011-03-11,,0.932,0.9293,,,,,,,,,,,,,,,,,,
2011-03-14,,0.9271,0.9249,,,,,,,,,,,,,,,,,,
2011-03-15,,0.9198,0.9187,,,,,,,,,,,,,,,,,,
