date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2011-01-03,,81.55,81.54,,,,,,,,,,,,,,,,,,
2011-01-04,,82.18,81.81,,,,,,,,,,,,,,,,,,
2011-01-05,,82.89,83.2,,,,,,,,,,,,,,,,,,
2011-01-06,,83.04,83.13,,,,,,,,,,,,,,,,,,
2011-01-07,,83.07,82.9,,,,,,,,,,,,,,,,,,
2011-01-10,,83.05,82.73,,,,,,,,,,,,,,,,,,
2011-01-11,,83.04,83.3,,,,,,,,,,,,,,,,,,
2011-01-12,,83.34,83.16,,,,,,,,,,,,,,,,,,
2011-01-13,,82.71,82.71,,,,,,,,,,,,,,,,,,
2011-01-14,,82.78,82.94,,,,,,,,,,,,,,,,,,
2011-01-17,,82.59,82.73,,,,,,,,,,,,,,,,,,
2011-01-18,,82.39,82.74,,,,,,,,,,,,,,,,,,
2011-01-19,,82.12,81.93,,,,,,,,,,,,,,,,,,
2011-01-20,,82.68,82.91,,,,,,,,,,,,,,,,,,
2011-01-21,,82.54,82.69,,,,,,,,,,,,,,,,,,
2011-01-24,,82.83,82.42,,,,,,,,,,,,,,,,,,
2011-01-25,,82.4,82.34,,,,,,,,,,,,,,,,,,
2011-01-26,,82.16,82.44,,,,,,,,,,,,,,,,,,
2011-01-27,,82.82,82.93,,,,,,,,,,,,,,,,,,
2011-01-28,,82.35,82.08,,,,,,,,,,,,,,,,,,
2011-01-31,,82.05,81.96,,,,,,,,,,,,,,,,,,
2011-02-01,,81.59,81.37,,,,,,,,,,,,,,,,,,
2011-02-02,,81.41,81.66,,,,,,,,,,,,,,,,,,
2011-02-03,,81.77,81.45,,,,,,,,,,,,,,,,,,
2011-02-04,,81.79,82.42,,,,,,,,,,,,,,,,,,
2011-02-07,,82.3,82.42,,,,,,,,,,,,,,,,,,
2011-02-08,,82.19,81.92,,,,,,,,,,,,,,,,,,
2011-02-09,,82.47,82.36,,,,,,,,,,,,,,,,,,
2011-02-10,,83.12,83.19,,,,,,,,,,,,,,,,,,
2011-02-11,,83.45,83.52,,,,,,,,,,,,,,,,,,
2011-02-14,,83.38,83.25,,,,,,,,,,,,,,,,,,
2011-02-15,,83.7,83.72,,,,,,,,,,,,,,,,,,
2011-02-16,,83.93,83.69,,,,,,,,,,,,,,,,,,
2011-02-17,,83.4,83.27,,,,,,,,,,,,,,,,,,
2011-02-18,,83.34,83.13,,,,,,,,,,,,,,,,,,
2011-02-21,,83.17,83.12,,,,,,,,,,,,,,,,,,
2011-02-22,,83.13,82.66,,,,,,,,,,,,,,,,,,
2011-02-23,,82.71,82.39,,,,,,,,,,,,,,,,,,
2011-02-24,,81.72,81.74,,,,,,,,,,,,,,,,,,
2011-02-25,,81.68,81.78,,,,,,,,,,,,,,,,,,
2011-02-28,,81.81,81.84,,,,,,,,,,,,,,,,,,
2011-03-01,,82.08,81.85,,,,,,,,,,,,,,,,,,
2011-03-02,,81.86,81.64,,,,,,,,,,,,,,,,,,
2011-03-03,,82.16,82.44,,,,,,,,,,,,,,,,,,
2011-03-04,,82.75,82.3,,,,,,,,,,,,,,,,,,
2011-03-07,,82.09,82.16,,,,,,,,,,,,,,,,,,
2011-03-08,,82.53,82.66,,,,,,,,,,,,,,,,,,
2011-03-09,,82.66,82.77,,,,,,,,,,,,,,,,,,
2011-03-10,,83.04,82.99,,,,,,,,,,,,,,,,,,
2011-03-11,,82.12,81.92,,,,,,,,,,,,,,,,,,
2011-03-14,,81.86,81.63,,,,,,,,,,,,,,,,,,
2011-03-15,,81.21,80.8,,,,,,,,,,,,,,,,,,
2011-03-16,,80.73,80.15,,,,,,,,,,,,,,,,,,
2011-03-17,,78.51,78.77,,,,,,,,,,,,,,,,,,
2011-03-18,,81.6,81.11,,,,,,,,,,,,,,,,,,
2011-03-21,,81.23,81.13,,,,,,,,,,,,,,,,,,
2011-03-22,,80.93,80.99,,,,,,,,,,,,,,,,,,
2011-03-23,,80.94,80.97,,,,,,,,,,,,,,,,,,
2011-03-24,,80.94,80.83,,,,,,,,,,,,,,,,,,
2011-03-25,,81.18,81.11,,,,,,,,,,,,,,,,,,
2011-03-28,,81.68,81.65,,,,,,,,,,,,,,,,,,
2011-03-29,,82.16,82.39,,,,,,,,,,,,,,,,,,
2011-03-30,,83.11,82.96,,,,,,,,,,,,,,,,,,
