year,trades,wins,losses,win_rate_pct,total_pnl,return_pct,profit_factor,equity_end
2011,14,12,2,85.7,5586.47,5.59,4.123,105586.47
2012,13,10,3,76.9,1590.51,1.51,1.383,107176.96
2013,8,7,1,87.5,4369.71,4.08,3.36,111546.67
2014,18,11,7,61.1,1290.7,1.16,1.125,112837.38
2015,10,10,0,100.0,10764.02,9.54,inf,123601.4
2016,8,5,3,62.5,4700.99,3.8,3.176,128302.41
2017,18,15,3,83.3,14227.76,11.09,4.414,142530.17
2018,20,17,3,85.0,18318.1,12.85,3.844,160848.28
2019,19,15,4,78.9,19704.58,12.25,5.258,180552.86
2020,8,5,3,62.5,3762.32,2.08,1.64,184315.18
2021,12,8,4,66.7,2118.84,1.15,1.269,186434.02
2022,10,6,4,60.0,438.29,0.24,1.055,186872.29
2023,13,9,4,69.2,10146.84,5.43,2.056,197019.12
2024,12,9,3,75.0,14240.02,7.23,6.838,211259.14
2025,20,14,6,70.0,16093.05,7.62,2.642,227352.21
2026,4,3,1,75.0,1674.21,0.74,1.723,229026.42
