trade_key,pair,trade_id,entry_time,entry_price,orig_stop_price,R,direction,portfolio_equity_at_entry,per_pair_equity_at_entry,scale_factor,risk_usd,risk_pct,total_portfolio_pnl,tp1_hit,tp2_hit,exit_time,exit_price,exit_event,exit_mode,equity_after,pnl_pct
GBPUSD_1,GBPUSD,1,2011-02-21 09:15:00,1.62194,1.6206,0.00134,bull,100000.0,99999.99,1.00000010000001,1000.0,0.01,373.86,True,False,2011-02-21 10:50:00,1.62173,BE_STOP,dual_tp,100373.86,0.37386003738600376
EURUSD_1,EURUSD,1,2011-03-14 14:25:00,1.39918,1.40028,0.00111,bear,100373.86003738601,100000.0,1.0037386003738602,1505.60790056079,0.015,1379.53,True,True,2011-03-14 21:50:00,1.39764,TP2,dual_tp,101753.39,1.3743900000000004
GBPUSD_2,GBPUSD,2,2011-04-01 16:00:00,1.61173,1.61321,0.00148,bear,101753.38833235383,100373.86,1.0137439003775868,1017.5338833235384,0.01,387.89,True,False,2011-04-03 18:15:00,1.61194,BE_STOP,dual_tp,102141.28,0.38120482763141716
GBPUSD_3,GBPUSD,3,2011-04-17 17:05:00,1.63094,1.62884,0.0021,bull,102141.27716095532,100756.49,1.0137439003775868,1021.4127716095531,0.01,-1068.71,False,False,2011-04-17 21:05:00,1.62875,STOP,dual_tp,101072.57,-1.04630480875227
USDJPY_1,USDJPY,1,2011-05-03 10:30:00,80.80377,80.6809,0.12287,bull,101072.56806629925,100000.0,1.0107256806629925,1516.0885209944888,0.015,1423.12,True,True,2011-05-03 11:45:00,80.98053,TP2,dual_tp,102495.69,1.4080199999999998
GBPUSD_4,GBPUSD,4,2011-07-27 16:05:00,1.63241,1.631,0.00141,bull,102495.69003918636,99702.27,1.0280176172436832,1024.9569003918637,0.01,299.46,True,False,2011-07-27 18:00:00,1.63238,BE_STOP,dual_tp,102795.15,0.2921698773759114
GBPUSD_5,GBPUSD,5,2011-08-14 17:55:00,1.62857,1.62677,0.00181,bull,102795.15157108945,99993.58,1.0280175144353212,1027.9515157108945,0.01,374.48,True,False,2011-08-14 20:50:00,1.62833,BE_STOP,dual_tp,103169.63,0.3642933876354862
GBPUSD_6,GBPUSD,6,2011-08-30 17:10:00,1.63011,1.63172,0.00161,bear,103169.6275110728,100357.85,1.0280175144353212,1031.696275110728,0.01,-1124.82,False,False,2011-08-31 02:30:00,1.63186,STOP,dual_tp,102044.81,-1.0902585099222433
USDJPY_2,USDJPY,2,2011-12-11 17:00:00,77.58242,77.47937,0.10305,bull,102044.81186747825,101408.02,1.0062795020302955,1530.6721780121736,0.015,-27.77,False,False,2011-12-11 17:05:00,77.57774,BE_STOP,dual_tp,102017.04,-0.027216782262389105
GBPUSD_7,GBPUSD,7,2011-12-16 09:25:00,1.5535,1.55576,0.00226,bear,102017.03855322221,99263.69,1.0277377211467982,1020.1703855322222,0.01,996.3,True,True,2011-12-16 09:45:00,1.55028,TP2,dual_tp,103013.34,0.9766008094198394
GBPUSD_8,GBPUSD,8,2012-02-03 16:20:00,1.58158,1.58311,0.00154,bear,103013.33777747913,100233.11,1.0277376186120448,1030.1333777747914,0.01,367.89,True,False,2012-02-03 16:55:00,1.58166,BE_STOP,dual_tp,103381.23,0.35712750008455296
GBPUSD_9,GBPUSD,9,2012-02-16 08:30:00,1.56725,1.56884,0.00159,bear,103381.2267354375,100591.06,1.0277377207819214,1033.812267354375,0.01,-1039.13,False,False,2012-02-16 09:10:00,1.56885,STOP,dual_tp,102342.1,-1.0051390252771968
USDJPY_3,USDJPY,3,2012-05-23 09:30:00,79.42091,79.34865,0.07226,bull,102342.10168070933,102057.5,1.002788640528225,1535.13152521064,0.015,-1620.79,False,False,2012-05-23 09:40:00,79.34462,STOP,dual_tp,100721.31,-1.583695465791343
GBPUSD_10,GBPUSD,10,2012-08-02 13:35:00,1.55025,1.54879,0.00146,bull,100721.31445679636,99579.98,1.0114614850976709,1007.2131445679636,0.01,391.1,True,False,2012-08-02 14:55:00,1.55016,BE_STOP,dual_tp,101112.42,0.38830094161497125
