date,account_balance
2011-01-01,100000
2011-01-02,100000
2011-01-03,100000
2011-01-04,100000
2011-01-05,100000
2011-01-06,100000
2011-01-07,100000
2011-01-08,100000
2011-01-09,100000
2011-01-10,100000
2011-01-11,100000
2011-01-12,100000
2011-01-12,100000
2011-01-13,100000
2011-01-14,100000
2011-01-15,100000
2011-01-16,100000
2011-01-17,100000
2011-01-18,100000
2011-01-19,100000
2011-01-20,100000
2011-01-21,100000
2011-01-22,100000
2011-01-23,100000
2011-01-24,100000
2011-01-25,100000
2011-01-26,100000
2011-01-27,100000
2011-01-28,100000
2011-01-29,100000
2011-01-30,100000
2011-01-31,100000
2011-02-01,100575.45
2011-02-02,100575.45
2011-02-03,100575.45
2011-02-04,100575.45
2011-02-05,100575.45
2011-02-06,100575.45
2011-02-07,100575.45
2011-02-08,100575.45
2011-02-09,100575.45
2011-02-10,100575.45
2011-02-11,100575.45
2011-02-12,100575.45
2011-02-13,100575.45
2011-02-14,100575.45
2011-02-15,100575.45
2011-02-16,100575.45
2011-02-17,100575.45
2011-02-18,100575.45
2011-02-19,100575.45
2011-02-20,100575.45
2011-02-21,101015.42
2011-02-22,101015.42
2011-02-23,101015.42
2011-02-24,101015.42
2011-02-25,101015.42
2011-02-26,101015.42
2011-02-27,101015.42
2011-02-28,101015.42
2011-03-01,101015.42
2011-03-02,101015.42
2011-03-03,101015.42
2011-03-04,101015.42
2011-03-05,101015.42
2011-03-06,101015.42
2011-03-07,101015.42
2011-03-08,101015.42
2011-03-09,101015.42
2011-03-10,101015.42
2011-03-11,101015.42
2011-03-12,101015.42
2011-03-13,101015.42
2011-03-14,101575.14
2011-03-15,101575.14
2011-03-16,101575.14
2011-03-17,101575.14
2011-03-18,101575.14
2011-03-19,101575.14
2011-03-20,101575.14
2011-03-21,101575.14
2011-03-22,101575.14
2011-03-23,101575.14
2011-03-24,101575.14
2011-03-25,101575.14
2011-03-26,101575.14
2011-03-27,101575.14
2011-03-28,101575.14
2011-03-29,101575.14
2011-03-30,101575.14
2011-03-31,101575.14
2011-04-01,101968.06
2011-04-02,101968.06
2011-04-03,101960.87
2011-04-04,101960.87
2011-04-05,101960.87
2011-04-06,101960.87
2011-04-07,101960.87
2011-04-08,101960.87
2011-04-09,101960.87
2011-04-10,101960.87
2011-04-11,101960.87
2011-04-12,101960.87
2011-04-13,101960.87
2011-04-14,101960.87
2011-04-15,101960.87
2011-04-16,101960.87
2011-04-17,102364.6
2011-04-18,102364.6
2011-04-19,102364.6
2011-04-20,102364.6
2011-04-21,102364.6
2011-04-22,102364.6
2011-04-23,102364.6
2011-04-24,102364.6
2011-04-25,102364.6
2011-04-26,102364.6
2011-04-27,102364.6
2011-04-28,102364.6
2011-04-29,102364.6
2011-04-30,102364.6
2011-05-01,102364.6
2011-05-02,102364.6
2011-05-03,103889.98
2011-05-04,103889.98
2011-05-05,103889.98
2011-05-06,103889.98
2011-05-07,103889.98
2011-05-08,103889.98
2011-05-09,103889.98
2011-05-10,103889.98
2011-05-11,103889.98
2011-05-12,103889.98
2011-05-13,103889.98
2011-05-14,103889.98
2011-05-15,103889.98
2011-05-16,103889.98
2011-05-17,103889.98
2011-05-18,103889.98
2011-05-19,103889.98
2011-05-20,103889.98
2011-05-21,103889.98
2011-05-22,103889.98
2011-05-23,103889.98
2011-05-24,103889.98
2011-05-25,103889.98
2011-05-26,103889.98
2011-05-27,103889.98
2011-05-28,103889.98
2011-05-29,103889.98
2011-05-30,103889.98
2011-05-31,103889.98
2011-06-01,103889.98
2011-06-02,103889.98
2011-06-03,103889.98
2011-06-04,103889.98
2011-06-05,103889.98
2011-06-06,103889.98
2011-06-07,103889.98
2011-06-08,103889.98
2011-06-09,103889.98
2011-06-10,103889.98
2011-06-11,103889.98
2011-06-12,103889.98
2011-06-13,103889.98
2011-06-14,103889.98
2011-06-15,103889.98
2011-06-16,103889.98
2011-06-17,103889.98
2011-06-18,103889.98
2011-06-19,103889.98
2011-06-20,103889.98
2011-06-21,103889.98
2011-06-22,103889.98
2011-06-23,103889.98
2011-06-24,103889.98
2011-06-25,103889.98
2011-06-26,103889.98
2011-06-27,103889.98
2011-06-28,103889.98
2011-06-29,103889.98
2011-06-30,103889.98
2011-07-01,103889.98
2011-07-02,103889.98
2011-07-03,103889.98
2011-07-04,104554.47
2011-07-05,104554.47
2011-07-06,104554.47
2011-07-07,104554.47
2011-07-08,104554.47
2011-07-09,104554.47
2011-07-10,104554.47
2011-07-11,104554.47
2011-07-12,104554.47
2011-07-13,104554.47
2011-07-14,104554.47
2011-07-15,104554.47
2011-07-16,104554.47
2011-07-17,104554.47
2011-07-18,104554.47
2011-07-19,104554.47
2011-07-20,104554.47
2011-07-21,104554.47
2011-07-22,104554.47
2011-07-23,104554.47
2011-07-24,104554.47
2011-07-25,104554.47
2011-07-26,104554.47
2011-07-27,104977.71
2011-07-28,104977.71
2011-07-29,104977.71
2011-07-30,104977.71
2011-07-31,104977.71
2011-08-01,104977.71
2011-08-02,104977.71
2011-08-03,104977.71
2011-08-04,104977.71
2011-08-05,104977.71
2011-08-06,104977.71
2011-08-07,104977.71
2011-08-08,104977.71
2011-08-09,104977.71
2011-08-10,104977.71
2011-08-11,104977.71
2011-08-12,104977.71
2011-08-13,104977.71
2011-08-14,105332.78
2011-08-15,105332.78
2011-08-16,105332.78
2011-08-17,105332.78
2011-08-18,105332.78
2011-08-19,105332.78
2011-08-20,105332.78
2011-08-21,105332.78
2011-08-22,105332.78
2011-08-23,105332.78
2011-08-24,105332.78
2011-08-25,105332.78
2011-08-26,105332.78
2011-08-27,105332.78
2011-08-28,105332.78
2011-08-29,105332.78
2011-08-30,105734.09
2011-08-31,105734.09
2011-09-01,105734.09
2011-09-02,105734.09
2011-09-03,105734.09
2011-09-04,105734.09
2011-09-05,105734.09
2011-09-06,103959.26
2011-09-07,103959.26
2011-09-08,103959.26
2011-09-09,103959.26
2011-09-10,103959.26
2011-09-11,103959.26
2011-09-12,103959.26
2011-09-13,103959.26
2011-09-14,103959.26
2011-09-15,103959.26
2011-09-16,103959.26
2011-09-17,103959.26
2011-09-18,103959.26
2011-09-19,103959.26
2011-09-20,103959.26
2011-09-21,103959.26
2011-09-22,103959.26
2011-09-23,103959.26
2011-09-24,103959.26
2011-09-25,103959.26
2011-09-26,103959.26
2011-09-27,103959.26
2011-09-28,103959.26
2011-09-29,103959.26
2011-09-30,103959.26
2011-10-01,103959.26
2011-10-02,103959.26
2011-10-03,103959.26
2011-10-04,103959.26
2011-10-05,103959.26
2011-10-06,103959.26
2011-10-07,103959.26
2011-10-08,103959.26
2011-10-09,103959.26
2011-10-10,104974.82
2011-10-11,104974.82
2011-10-12,104974.82
2011-10-13,104974.82
2011-10-14,104974.82
2011-10-15,104974.82
2011-10-16,104974.82
2011-10-17,104974.82
2011-10-18,104974.82
2011-10-19,104974.82
2011-10-20,104974.82
2011-10-21,104974.82
2011-10-22,104974.82
2011-10-23,104974.82
2011-10-24,104974.82
2011-10-25,104974.82
2011-10-26,104974.82
2011-10-27,104974.82
2011-10-28,104974.82
2011-10-29,104974.82
2011-10-30,104974.82
2011-10-31,104974.82
2011-11-01,104974.82
2011-11-02,104974.82
2011-11-03,104974.82
2011-11-04,104974.82
2011-11-05,104974.82
2011-11-06,104974.82
2011-11-07,104974.82
2011-11-08,104974.82
2011-11-09,104974.82
2011-11-10,104974.82
2011-11-11,104974.82
2011-11-12,104974.82
2011-11-13,104974.82
2011-11-14,104974.82
2011-11-15,104974.82
2011-11-16,104974.82
2011-11-17,104974.82
2011-11-18,104974.82
2011-11-19,104974.82
2011-11-20,104974.82
2011-11-21,104974.82
2011-11-22,104974.82
2011-11-23,104974.82
2011-11-24,104974.82
2011-11-25,104974.82
2011-11-26,104974.82
2011-11-27,104974.82
2011-11-28,104974.82
2011-11-29,104974.82
2011-11-30,104974.82
2011-12-01,104974.82
2011-12-02,104974.82
2011-12-03,104974.82
2011-12-04,104974.82
2011-12-05,104974.82
2011-12-06,104974.82
2011-12-07,104974.82
2011-12-08,104974.82
2011-12-09,104974.82
2011-12-10,104974.82
2011-12-11,104960.99
2011-12-12,104960.99
2011-12-13,104960.99
2011-12-14,104960.99
2011-12-15,104960.99
2011-12-16,105586.47
2011-12-17,105586.47
2011-12-18,105586.47
2011-12-19,105586.47
2011-12-20,105586.47
2011-12-21,105586.47
2011-12-22,105586.47
2011-12-23,105586.47
2011-12-24,105586.47
2011-12-25,105586.47
2011-12-26,105586.47
2011-12-27,105586.47
2011-12-28,105586.47
2011-12-29,105586.47
2011-12-30,105586.47
2011-12-31,105586.47
2012-01-01,105586.47
2012-01-02,105586.47
2012-01-03,105586.47
2012-01-04,105586.47
2012-01-05,105586.47
2012-01-06,105586.47
2012-01-07,105586.47
2012-01-08,105586.47
2012-01-09,105586.47
2012-01-10,105586.47
2012-01-11,105586.47
2012-01-12,105586.47
2012-01-13,105586.47
2012-01-14,105586.47
2012-01-15,105586.47
2012-01-16,105586.47
2012-01-17,105586.47
2012-01-18,105586.47
2012-01-19,105586.47
2012-01-20,105586.47
2012-01-21,105586.47
2012-01-22,105586.47
2012-01-23,105586.47
2012-01-24,105586.47
2012-01-25,105586.47
2012-01-26,105586.47
2012-01-27,105586.47
2012-01-28,105586.47
2012-01-29,105586.47
2012-01-30,105586.47
2012-01-31,105586.47
2012-02-01,105586.47
2012-02-02,105586.47
2012-02-03,105979.98
2012-02-04,105979.98
2012-02-05,105979.98
2012-02-06,105979.98
2012-02-07,105979.98
2012-02-08,105979.98
2012-02-09,105979.98
2012-02-10,105979.98
2012-02-11,105979.98
2012-02-12,105979.98
2012-02-13,105979.98
2012-02-14,105979.98
2012-02-15,105979.98
2012-02-16,104763.17
2012-02-17,104763.17
2012-02-18,104763.17
2012-02-19,104763.17
2012-02-20,104763.17
2012-02-21,104763.17
2012-02-22,104763.17
2012-02-23,104763.17
2012-02-24,104763.17
2012-02-25,104763.17
2012-02-26,104763.17
2012-02-27,104763.17
2012-02-28,104763.17
2012-02-29,104763.17
2012-03-01,104763.17
2012-03-02,104763.17
2012-03-03,104763.17
2012-03-04,104763.17
2012-03-05,104763.17
2012-03-06,104763.17
2012-03-07,104763.17
2012-03-08,105383.73
2012-03-09,105383.73
2012-03-10,105383.73
2012-03-11,105383.73
2012-03-12,105383.73
2012-03-13,105383.73
2012-03-14,105383.73
2012-03-15,105383.73
2012-03-16,105383.73
2012-03-17,105383.73
2012-03-18,105383.73
2012-03-19,105383.73
2012-03-20,105383.73
2012-03-21,105383.73
2012-03-22,105383.73
2012-03-23,105383.73
2012-03-24,105383.73
2012-03-25,105383.73
2012-03-26,105383.73
2012-03-27,105383.73
2012-03-28,105383.73
2012-03-29,105383.73
2012-03-30,105383.73
2012-03-31,105383.73
2012-04-01,105383.73
2012-04-02,105383.73
2012-04-03,105383.73
2012-04-04,105383.73
2012-04-05,105383.73
2012-04-06,105383.73
2012-04-07,105383.73
2012-04-08,105383.73
2012-04-09,105383.73
2012-04-10,105383.73
2012-04-11,105383.73
2012-04-12,105383.73
2012-04-13,105383.73
2012-04-14,105383.73
2012-04-15,105383.73
2012-04-16,105383.73
2012-04-17,105383.73
2012-04-18,105383.73
2012-04-19,105383.73
2012-04-20,105383.73
2012-04-21,105383.73
2012-04-22,105383.73
2012-04-23,105383.73
2012-04-24,105383.73
2012-04-25,105383.73
2012-04-26,105383.73
2012-04-27,105383.73
2012-04-28,105383.73
2012-04-29,105383.73
2012-04-30,105383.73
2012-05-01,105383.73
2012-05-02,105383.73
2012-05-03,105383.73
2012-05-04,105383.73
2012-05-05,105383.73
2012-05-06,105383.73
2012-05-07,105383.73
2012-05-08,105383.73
2012-05-09,105383.73
2012-05-10,105383.73
2012-05-11,105383.73
2012-05-12,105383.73
2012-05-13,105383.73
2012-05-14,105383.73
2012-05-15,105383.73
2012-05-16,105383.73
2012-05-17,105383.73
2012-05-18,105383.73
2012-05-19,105383.73
2012-05-20,105383.73
2012-05-21,105383.73
2012-05-22,105383.73
2012-05-23,103617.58
2012-05-24,103617.58
2012-05-25,103617.58
2012-05-26,103617.58
2012-05-27,103617.58
2012-05-28,103617.58
2012-05-29,103617.58
2012-05-30,103617.58
2012-05-31,103617.58
2012-06-01,103617.58
2012-06-02,103617.58
2012-06-03,103617.58
2012-06-04,103617.58
2012-06-05,103617.58
2012-06-06,103617.58
2012-06-07,103617.58
2012-06-08,103617.58
2012-06-09,103617.58
2012-06-10,103617.58
2012-06-11,103617.58
2012-06-12,103617.58
2012-06-13,103617.58
2012-06-14,103617.58
2012-06-15,103617.58
2012-06-16,103617.58
2012-06-17,103617.58
2012-06-18,103617.58
2012-06-19,103617.58
2012-06-20,103617.58
2012-06-21,103617.58
2012-06-22,103617.58
2012-06-23,103617.58
2012-06-24,103617.58
2012-06-25,103617.58
2012-06-26,103617.58
2012-06-27,103617.58
2012-06-28,103617.58
2012-06-29,103617.58
2012-06-30,103617.58
2012-07-01,103617.58
2012-07-02,103617.58
2012-07-03,103617.58
2012-07-04,103617.58
2012-07-05,103617.58
2012-07-06,103617.58
2012-07-07,103617.58
2012-07-08,103617.58
2012-07-09,103617.58
2012-07-10,103617.58
2012-07-11,103617.58
2012-07-12,103617.58
2012-07-13,103617.58
2012-07-14,103617.58
2012-07-15,103617.58
2012-07-16,103617.58
2012-07-17,104240.05
2012-07-18,104240.05
2012-07-19,104240.05
2012-07-20,104240.05
2012-07-21,104240.05
2012-07-22,104240.05
2012-07-23,104240.05
2012-07-24,104240.05
2012-07-25,104240.05
2012-07-26,104240.05
2012-07-27,104240.05
2012-07-28,104240.05
2012-07-29,104240.05
2012-07-30,104240.05
2012-07-31,104240.05
2012-08-01,104682.11
2012-08-02,105685.31
2012-08-03,105685.31
2012-08-04,105685.31
2012-08-05,105685.31
2012-08-06,105685.31
2012-08-07,105685.31
2012-08-08,105685.31
2012-08-09,105685.31
2012-08-10,105685.31
2012-08-11,105685.31
2012-08-12,105685.31
2012-08-13,105685.31
2012-08-14,105685.31
2012-08-15,105685.31
2012-08-16,105685.31
2012-08-17,105685.31
2012-08-18,105685.31
2012-08-19,105685.31
2012-08-20,105685.31
2012-08-21,105685.31
2012-08-22,105685.31
2012-08-23,105685.31
2012-08-24,105685.31
2012-08-25,105685.31
2012-08-26,105685.31
2012-08-27,105685.31
2012-08-28,105685.31
2012-08-29,105685.31
2012-08-30,105685.31
2012-08-31,105685.31
2012-09-01,105685.31
2012-09-02,105685.31
2012-09-03,105685.31
2012-09-04,105685.31
2012-09-05,105685.31
2012-09-06,105685.31
2012-09-07,105685.31
2012-09-08,105685.31
2012-09-09,105685.31
2012-09-10,105685.31
2012-09-11,105685.31
2012-09-12,105685.31
2012-09-13,105685.31
2012-09-14,105685.31
2012-09-15,105685.31
2012-09-16,105685.31
2012-09-17,105685.31
2012-09-18,105685.31
2012-09-19,105685.31
2012-09-20,105685.31
2012-09-21,105685.31
2012-09-22,105685.31
2012-09-23,105685.31
2012-09-24,105685.31
2012-09-25,105685.31
2012-09-26,105685.31
2012-09-27,105685.31
2012-09-28,105685.31
2012-09-29,105685.31
2012-09-30,105685.31
2012-10-01,105685.31
2012-10-02,105685.31
2012-10-03,105685.31
2012-10-04,105685.31
2012-10-05,105685.31
2012-10-06,105685.31
2012-10-07,105685.31
2012-10-08,106099.08
2012-10-09,106099.08
2012-10-10,106099.08
2012-10-11,106099.08
2012-10-12,106099.08
2012-10-13,106099.08
2012-10-14,106099.08
2012-10-15,106099.08
2012-10-16,106099.08
2012-10-17,106560.12
2012-10-18,106560.12
2012-10-19,106560.12
2012-10-20,106560.12
2012-10-21,106560.12
2012-10-22,106560.12
2012-10-23,106560.12
2012-10-24,106560.12
2012-10-25,106560.12
2012-10-26,106560.12
2012-10-27,106560.12
2012-10-28,106560.12
