date,account_balance
2011-02-21,100373.86
2011-02-22,100373.86
2011-02-23,100373.86
2011-02-24,100373.86
2011-02-25,100373.86
2011-02-26,100373.86
2011-02-27,100373.86
2011-02-28,100373.86
2011-03-01,100373.86
2011-03-02,100373.86
2011-03-03,100373.86
2011-03-04,100373.86
2011-03-05,100373.86
2011-03-06,100373.86
2011-03-07,100373.86
2011-03-08,100373.86
2011-03-09,100373.86
2011-03-10,100373.86
2011-03-11,100373.86
2011-03-12,100373.86
2011-03-13,100373.86
2011-03-14,101753.39
2011-03-15,101753.39
2011-03-16,101753.39
2011-03-17,101753.39
2011-03-18,101753.39
2011-03-19,101753.39
2011-03-20,101753.39
2011-03-21,101753.39
2011-03-22,101753.39
2011-03-23,101753.39
2011-03-24,101753.39
2011-03-25,101753.39
2011-03-26,101753.39
2011-03-27,101753.39
2011-03-28,101753.39
2011-03-29,101753.39
2011-03-30,101753.39
2011-03-31,101753.39
2011-04-01,102198.2
2011-04-02,102198.2
2011-04-03,102141.28
2011-04-04,102141.28
2011-04-05,102141.28
2011-04-06,102141.28
2011-04-07,102141.28
2011-04-08,102141.28
2011-04-09,102141.28
2011-04-10,102141.28
2011-04-11,102141.28
2011-04-12,102141.28
2011-04-13,102141.28
2011-04-14,102141.28
2011-04-15,102141.28
2011-04-16,102141.28
2011-04-17,101072.57
2011-04-18,101072.57
2011-04-19,101072.57
2011-04-20,101072.57
2011-04-21,101072.57
2011-04-22,101072.57
2011-04-23,101072.57
2011-04-24,101072.57
2011-04-25,101072.57
2011-04-26,101072.57
2011-04-27,101072.57
2011-04-28,101072.57
2011-04-29,101072.57
2011-04-30,101072.57
2011-05-01,101072.57
2011-05-02,101072.57
2011-05-03,102495.69
2011-05-04,102495.69
2011-05-05,102495.69
2011-05-06,102495.69
2011-05-07,102495.69
2011-05-08,102495.69
2011-05-09,102495.69
2011-05-10,102495.69
2011-05-11,102495.69
2011-05-12,102495.69
2011-05-13,102495.69
2011-05-14,102495.69
2011-05-15,102495.69
2011-05-16,102495.69
2011-05-17,102495.69
2011-05-18,102495.69
2011-05-19,102495.69
2011-05-20,102495.69
2011-05-21,102495.69
2011-05-22,102495.69
2011-05-23,102495.69
2011-05-24,102495.69
2011-05-25,102495.69
2011-05-26,102495.69
2011-05-27,102495.69
2011-05-28,102495.69
2011-05-29,102495.69
2011-05-30,102495.69
2011-05-31,102495.69
2011-06-01,102495.69
2011-06-02,102495.69
2011-06-03,102495.69
2011-06-04,102495.69
2011-06-05,102495.69
2011-06-06,102495.69
