year,trades,wins,losses,win_rate_pct,total_pnl,return_pct,profit_factor,equity_end
2011,10,7,3,70.0,3013.34,3.01,2.357,103013.34
2012,9,6,3,66.7,99.02,0.1,1.027,103112.37
2013,6,6,0,100.0,5084.29,4.93,inf,108196.67
2014,18,11,7,61.1,792.49,0.73,1.076,108989.18
2015,9,8,1,88.9,7652.43,7.02,4.94,116641.6
2016,7,6,1,85.7,3740.37,3.21,2.966,120381.97
2017,10,8,2,80.0,7288.45,6.05,2.752,127670.42
2018,17,12,5,70.6,6484.68,5.08,1.659,134155.09
2019,16,13,3,81.2,9425.18,7.03,3.32,143580.26
2020,8,5,3,62.5,2598.01,1.81,1.384,146178.27
2021,12,5,7,41.7,-9488.47,-6.49,0.416,136689.79
2022,6,4,2,66.7,426.62,0.31,1.084,137116.4
2023,12,8,4,66.7,2422.16,1.77,1.259,139538.56
2024,12,9,3,75.0,9985.36,7.16,2.767,149523.93
2025,15,8,7,53.3,-3722.43,-2.49,0.728,145801.49
2026,4,3,1,75.0,3975.26,2.73,3.598,149776.75
